Index,Textual Faithfulness,Frame Consistency,Video Fidelity,Source Video,Edited Video,key,tasks,target_dirs,models,caption,editing_prompt,Textual Faithfulness_w1,Textual Faithfulness_w2,Textual Faithfulness_w3,Textual Faithfulness_w4,Frame Consistency_w1,Frame Consistency_w2,Frame Consistency_w3,Frame Consistency_w4,Video Fidelity_w1,Video Fidelity_w2,Video Fidelity_w3,Video Fidelity_w4
10,4,3.5,3.25,cat-girl,cat-girl_0_v_0,cat-girl,CE_animal,CE_animal/Vidtome,Vidtome,A little girl is sitting on a chair holding a cat in her arms,A little girl is sitting on a chair holding a dog in her arms,4,4,4,4,4,3,4,3,3,3,4,3
11,4,4,3.25,horsejump-low,horsejump-low_0_v_0,horsejump-low,CE_animal,CE_animal/Vidtome,Vidtome,A woman rides a gray horse jumping through a set of blue hurdles in the arena,A woman rides a gray donkey jumping through a set of blue hurdles in the arena,4,4,4,4,4,4,4,4,3,3,3,4
12,3.25,2.75,2.5,hurdles-race,hurdles-race_0_v_1,hurdles-race,CE_human,CE_human/Vidtome,Vidtome,A group of women are running on an athletic track while jumping over hurdles as an audience watches on,A group of robots are running on an athletic track while jumping over hurdles as an audience watches on,4,3,3,3,3,2,3,3,3,2,2,3
13,4,3.25,3,NextQA_man_jump_warehouse,NextQA_man_jump_warehouse_0_v_1,NextQA_man_jump_warehouse,CE_human,CE_human/Vidtome,Vidtome,A man in overalls and a hat is dancing in a workshop.,A spiderman is dancing in a workshop.,4,4,4,4,4,3,3,3,3,3,3,3
14,4,3.75,3.75,mbike-trick,mbike-trick_0_v_1,mbike-trick,CE_human,CE_human/Vidtome,Vidtome,A man wearing a helmet and a white T-shirt is riding a motorcycle in a training ground to create smoke circles around him,A robot wearing a helmet and a white T-shirt is riding a motorcycle in a training ground to create smoke circles around him,4,4,4,4,4,4,4,3,4,4,4,3
15,3.75,3.5,3,volleyball-beach,volleyball-beach_0_v_1,volleyball-beach,CE_human,CE_human/Vidtome,Vidtome,A group of people playing volleyball on the beach,A group of aliens playing volleyball on the beach.,4,4,4,3,4,3,4,3,4,3,3,2
16,4,4,3.5,aerobatics,aerobatics_0_v_1,aerobatics,CE_human,CE_human/Vidtome,Vidtome,A man is riding in a hang glider and has a view of the earth below,An astronaut is riding in a hang glider and has a view of the earth below,4,4,4,4,4,4,4,4,4,4,3,3
17,4,3.25,3,dogs-jump,dogs-jump_0_v_1,dogs-jump,CE_human,CE_human/Vidtome,Vidtome,"A woman holds snacks in her hand, and her two huskies are also jumping in the air, trying to catch the snacks thrown from her hand, on the grass","A chef holds snacks in her hand, and her two assistants are also jumping in the air, trying to catch the snacks thrown from her hand, on the grass",4,4,4,4,3,3,3,4,3,3,2,4
18,4,3.5,3.5,horsejump-stick,horsejump-stick_0_v_1,horsejump-stick,CE_human,CE_human/Vidtome,Vidtome,A young girl riding a piebald horse and jumping obstacles in the arena,A young boy riding a piebald horse and jumping obstacles in the arena,4,4,4,4,3,3,4,4,4,3,3,4
19,3.75,3.25,2.75,schoolgirls,schoolgirls_0_v_1,schoolgirls,CE_human,CE_human/Vidtome,Vidtome,Four shoolgirls standing in front of trees and a fence,Four astronauts standing in front of trees and a fence,4,4,4,3,4,3,3,3,3,2,3,3
20,4,3.75,4,breakdance,breakdance_0_v_1,breakdance,CE_human,CE_human/Vidtome,Vidtome,A man is breakdancing in the street while a crowd of people watches,A woman is breakdancing in the street while a crowd of people watches,4,4,4,4,4,4,3,4,4,4,4,4
21,4,3.75,3.75,judo,judo_0_v_1,judo,CE_human,CE_human/Vidtome,Vidtome,Two men in white uniforms are practicing Judo inside a Karate studio,Two girl in white uniforms are practicing Judo inside a Karate studio,4,4,4,4,4,3,4,4,4,3,4,4
22,4,3.75,3.5,tennis-vest,tennis-vest_0_v_1,tennis-vest,CE_human,CE_human/Vidtome,Vidtome,A man wearing a tank top and undershirt is playing a game of tennis on a clay court,A woman wearing a tank top and undershirt is playing a game of tennis on a clay court,4,4,4,4,4,4,4,3,4,3,4,3
23,4.25,3.5,3.5,hike,hike_0_v_1,hike,CE_human,CE_human/Vidtome,Vidtome,"A man carrying a backpack is walking on the mountain, stepping on rocks, with the mountain as the background","A woman carrying a backpack is walking on the mountain, stepping on rocks, with the mountain as the background",4,5,4,4,4,4,3,3,4,4,3,3
24,3.75,3.25,3,e-bike,e-bike_0_v_2,e-bike,CE_object,CE_object/Vidtome,Vidtome,A man is riding a weird looking four wheeled scooter at a trade show,A man is riding a futuristic four-wheeled scooter at a technology trade show,3,4,4,4,4,3,3,3,4,2,3,3
25,4,3.5,3.5,aerobatics,aerobatics_0_v_2,aerobatics,CE_object,CE_object/Vidtome,Vidtome,A man is riding in a hang glider and has a view of the earth below,A man is riding in a paraglider and has a view of the earth below,4,4,4,4,3,4,3,4,3,4,3,4
26,3.75,2.75,2.5,curling,curling_0_v_2,curling,CE_object,CE_object/Vidtome,Vidtome,"A group of women in blue and yellow striped clothing are pushing a curling stone, with a stadium full of spectators in the background","A group of women in blue and yellow striped clothing are pushing a basketball, with a stadium full of spectators in the background",4,4,4,3,3,3,3,2,2,3,3,2
27,4,3.75,3.75,golf,golf_0_v_2,golf,CE_object,CE_object/Vidtome,Vidtome,"A man wearing a baseball cap is walking with a golf club towards a golf cart, with grass and trees in the background","A man wearing a baseball cap is walking with a golf club towards a red-colored golf cart, with lush green grass and tall trees in the background.",4,4,4,4,4,3,4,4,4,3,4,4
28,4,3.75,3.5,city-ride,city-ride_0_v_2,city-ride,CE_object,CE_object/Vidtome,Vidtome,A young boy rides a bike down a street with a graffiti wall,A young boy rides a scooter down a street with a graffiti wall,4,4,4,4,4,3,4,4,4,3,3,4
29,4,3.25,3,drift-turn,drift-turn_0_v_2,drift-turn,CE_object,CE_object/Vidtome,Vidtome,A vehicle drifts through a course while driving over several obstacles,A truck drifts through a course while driving over several obstacles,4,4,4,4,4,3,3,3,3,3,3,3
30,4.25,3.75,4,car-competition,car-competition_0_v_2,car-competition,CE_object,CE_object/Vidtome,Vidtome,A group of race cars driving down a race track,A pack of NASCAR race cars driving down a race track,4,4,5,4,4,4,3,4,4,4,4,4
31,4,3.25,3.25,motorbike,motorbike_0_v_2,motorbike,CE_object,CE_object/Vidtome,Vidtome,Two people riding motorcycles on a road near a mountain,Two people riding Harley Davidson motorcycles on a road near a mountain,3,4,5,4,3,3,3,4,2,3,4,4
32,4,2.75,2.5,bmx-bumps,bmx-bumps_0_v_2,bmx-bumps,CE_object,CE_object/Vidtome,Vidtome,A young boy in a bicycle helmet is seen performing various tricks on his bicycle while racing in an outdoor dirt track,A young boy in a bicycle helmet is seen performing various tricks on his BMX bike while racing in an outdoor dirt track,4,4,4,4,3,2,3,3,3,2,2,3
33,4.25,3.5,3.75,car-roundabout,car-roundabout_0_v_2,car-roundabout,CE_object,CE_object/Vidtome,Vidtome,A black car is driving on the roundabout road,A silver car is driving on the roundabout road,5,4,4,4,4,3,3,4,4,3,4,4
34,4,3.25,3.5,mbike-santa,mbike-santa_0_v_2,mbike-santa,CE_object,CE_object/Vidtome,Vidtome,A man dressed as Santa Claus is riding a motorcycle on the street,A man dressed as Santa Claus is riding a Harley Davidson motorcycle on the street,4,4,4,4,4,3,3,3,4,3,3,4
35,4,4,3.75,guitar-violin,guitar-violin_0_v_2,guitar-violin,CE_object,CE_object/Vidtome,Vidtome,A man dressed in a suit is playing a song on the violin in a candlelit bar,A man dressed in a suit is playing a song on the green violin in a candlelit bar,4,4,4,4,5,4,3,4,4,4,3,4
36,4,3.5,3.25,motocross-bumps,motocross-bumps_0_v_3,motocross-bumps,CE_other,CE_other/Vidtome,Vidtome,A person riding a dirt bike over a dirt track,A person riding a dirt bike over a rocky terrain,4,4,4,4,4,3,3,4,3,3,3,4
37,3.75,3.75,3.5,rollercoaster,rollercoaster_0_v_3,rollercoaster,CE_other,CE_other/Vidtome,Vidtome,A roller coaster is running on an orange track on a sunny day.,A roller coaster is running on an orange track on a rainy day,4,4,3,4,4,4,4,3,4,4,3,3
38,3.75,3.75,3.75,boxing-fisheye,boxing-fisheye_0_v_3,boxing-fisheye,CE_other,CE_other/Vidtome,Vidtome,A boxing match between two young men is taking place in an outdoor ring while a crowd of people watches,A boxing match between two young men is taking place in a space ship while a group of people watches,4,4,4,3,4,4,4,3,4,3,4,4
39,4,3,2.75,classic-car,classic-car_0_v_3,classic-car,CE_other,CE_other/Vidtome,Vidtome,"An old race car is driven through a crowd on a track while people watch, cheering and clapping","An old race car is driven through a crowd on a narrow mountain road while people watch, cheering and clapping",4,4,4,4,3,2,3,4,2,2,3,4
40,4,3,3,horsejump-stick,horsejump-stick_0_v_3,horsejump-stick,CE_other,CE_other/Vidtome,Vidtome,A young girl riding a piebald horse and jumping obstacles in the arena,A young girl riding a piebald horse and jumping obstacles in the desert oasis,4,4,4,4,4,2,3,3,4,2,3,3
41,4,3.75,3.5,india,india_0_v_3,india,CE_other,CE_other/Vidtome,Vidtome,"People walking on busy streets in India, some motorcycles passing by","People walking on the dirt road in India, some motorcycles passing by",4,4,4,4,4,4,3,4,4,3,3,4
42,3.75,2.75,2.75,hurdles-race,hurdles-race_0_v_3,hurdles-race,CE_other,CE_other/Vidtome,Vidtome,A group of women are running on an athletic track while jumping over hurdles as an audience watches on,A group of women are running on a sandy track while jumping over hurdles as an audience watches on,4,4,4,3,3,2,3,3,3,2,3,3
43,4,3.5,3.5,speed-skating,speed-skating_0_v_3,speed-skating,CE_other,CE_other/Vidtome,Vidtome,"Three men are competing in a short track speed skating competition, skating closely on the track","Three men are competing in a short track speed skating competition, skating closely on the ice rink",4,4,4,4,3,3,4,4,4,3,3,4
44,4.25,3.5,3.25,scooter-gray,scooter-gray_0_v_3,scooter-gray,CE_other,CE_other/Vidtome,Vidtome,A man riding a motorcycle on a street,A man riding a motorcycle on a dirt road,4,5,4,4,3,4,3,4,3,4,3,3
45,3.75,3.75,3.5,kite-surf,kite-surf_0_v_3,kite-surf,CE_other,CE_other/Vidtome,Vidtome,A person in a black helmet is water skiing on the surface of a large body of water while attached to a rope,A person in a black helmet is water skiing on the surface of a large body of icy water while attached to a rope,4,4,4,3,4,4,4,3,4,3,4,3
46,4.5,3.75,3.5,mbike-trick,mbike-trick_0_v_3,mbike-trick,CE_other,CE_other/Vidtome,Vidtome,A man wearing a helmet and a white T-shirt is riding a motorcycle in a training ground to create smoke circles around him,A man wearing a helmet and a white T-shirt is riding a motorcycle in a desert to create smoke circles around him,4,5,5,4,4,4,4,3,4,4,3,3
47,3.75,3.75,3,drone-flying,drone-flying_0_v_3,drone-flying,CE_other,CE_other/Vidtome,Vidtome,"A man standing on a drone gliding over the water surface, in front of a building","A man standing on a drone gliding over the water surface, in front of a lighthouse",4,4,4,3,4,4,4,3,3,3,4,2
48,4,4,3.5,hockey,hockey_0_v_4,hockey,Style_Overall,Style_Overall/Vidtome,Vidtome,"A roller hockey player in protective gear, balancing on his knees, is defending the goal in a park","A roller hockey player in protective gear, balancing on his knees, is defending the goal in a park, in Oil painting style",4,4,4,4,4,4,4,4,4,3,3,4
49,3.75,3.5,3,varanus-tree,varanus-tree_0_v_4,varanus-tree,Style_Overall,Style_Overall/Vidtome,Vidtome,A lizard on a leash climbing up a tree,"A lizard on a leash climbing up a tree, in Manga style",4,4,4,3,4,3,4,3,3,3,3,3
50,3.5,3.25,2.25,monkeys-trees,monkeys-trees_0_v_4,monkeys-trees,Style_Overall,Style_Overall/Vidtome,Vidtome,A monkey is rushing from the ground towards another monkey sitting on the tree trunk,"A monkey is rushing from the ground towards another monkey sitting on the tree trunk, in Watercolor style",4,4,3,3,4,2,4,3,3,2,2,2
51,4,4,3.75,kite-walk,kite-walk_0_v_4,kite-walk,Style_Overall,Style_Overall/Vidtome,Vidtome,"A man is walking backwards on the sandy beach by the sea, holding a paddle in his hand and a rope tied to his body","A man is walking backwards on the sandy beach by the sea, holding a paddle in his hand and a rope tied to his body, in Watercolor style",4,4,4,4,4,4,4,4,4,3,4,4
52,4,3.5,3,swing-boy,swing-boy_0_v_4,swing-boy,Style_Overall,Style_Overall/Vidtome,Vidtome,"A boy is swinging on a swing, with a background of woods, grassland, and a fence","A boy is swinging on a swing, with a background of woods, grassland, and a fence, in Manga style",4,4,4,4,4,3,3,4,4,3,2,3
53,3.75,3.75,3.75,tennis-vest,tennis-vest_0_v_4,tennis-vest,Style_Overall,Style_Overall/Vidtome,Vidtome,A man wearing a tank top and undershirt is playing a game of tennis on a clay court,"A man wearing a tank top and undershirt is playing a game of tennis on a clay court, in Van Gogh style",4,4,4,3,4,4,4,3,4,4,4,3
54,4,3.5,3,cat-girl,cat-girl_0_v_4,cat-girl,Style_Overall,Style_Overall/Vidtome,Vidtome,A little girl is sitting on a chair holding a cat in her arms,"A little girl is sitting on a chair holding a cat in her arms, in Watercolor style",4,4,4,4,4,3,3,4,4,3,2,3
55,3.75,3.75,3.25,boxing,boxing_0_v_4,boxing,Style_Overall,Style_Overall/Vidtome,Vidtome,Two boxers are boxing in the ring,"Two boxers are boxing in the ring, in Abstract style",4,4,4,3,4,4,4,3,3,4,3,3
56,4,4,3.25,butterfly,butterfly_0_v_4,butterfly,Style_Overall,Style_Overall/Vidtome,Vidtome,A blue butterfly flying over a plant,"A blue butterfly flying over a plant, in Oil painting style",4,4,4,4,4,4,4,4,3,4,2,4
57,4,3.75,3.75,breakdance-flare,breakdance-flare_0_v_4,breakdance-flare,Style_Overall,Style_Overall/Vidtome,Vidtome,A man breakdancing in front of a building,"A man breakdancing in front of a building, in Watercolor style",4,4,4,4,4,4,3,4,4,4,3,4
58,4,3.5,3,swing,swing_0_v_4,swing,Style_Overall,Style_Overall/Vidtome,Vidtome,a woman is swinging on a swing in a park,"a woman is swinging on a swing in a park, in Van Gogh style",4,4,4,4,4,3,4,3,4,3,2,3
59,4,4,4,soccerball,soccerball_0_v_4,soccerball,Style_Overall,Style_Overall/Vidtome,Vidtome,"A football stopped spinning on the grass, with trees and an iron fence in the background","A football stopped spinning on the grass, with trees and an iron fence in the background, in Cartoon style",4,4,4,4,4,4,4,4,5,4,3,4
60,4,4,3.25,people-sunset,people-sunset_0_v_4,people-sunset,Style_Overall,Style_Overall/Vidtome,Vidtome,A couple walking down a hill at sunset,"A couple walking down a hill at sunset, in Van Gogh style",4,4,4,4,4,4,4,4,3,3,4,3
61,4.25,4,4,camel,camel_0_v_4,camel,Style_Overall,Style_Overall/Vidtome,Vidtome,A camel walking in an enclosure with a fence,"A camel walking in an enclosure with a fence, in Watercolor style",5,4,4,4,4,4,4,4,5,4,3,4
62,4,3.25,3,horse-race,horse-race_0_v_4,horse-race,Style_Overall,Style_Overall/Vidtome,Vidtome,"Horses are racing in a muddy track during a rainstorm, with one horse running ahead and the others closely behind","Horses are racing in a muddy track during a rainstorm, with one horse running ahead and the others closely behind, in Abstract style",4,4,4,4,4,3,3,3,4,3,2,3
63,4.25,4,3.75,bmx-rider,bmx-rider_0_v_4,bmx-rider,Style_Overall,Style_Overall/Vidtome,Vidtome,A skilled biker rides a bike up a ramp while performing a series of tricks,"A skilled biker rides a bike up a ramp while performing a series of tricks, in Manga style",4,5,4,4,4,4,4,4,4,4,3,4
64,4,4,3.75,gym-ball,gym-ball_0_v_4,gym-ball,Style_Overall,Style_Overall/Vidtome,Vidtome,"A man in the gym repeatedly jumps up and down in a fast motion while holding a big ball, and then bounces it to himself","A man in the gym repeatedly jumps up and down in a fast motion while holding a big ball, and then bounces it to himself, in Watercolor style",4,4,4,4,4,4,4,4,4,4,3,4
65,3.5,3.25,3,circus,circus_0_v_4,circus,Style_Overall,Style_Overall/Vidtome,Vidtome,A boy is flipping over a circle formed by a girl and a boy in the circus,"A boy is flipping over a circle formed by a girl and a boy in the circus, in Cartoon style",4,4,3,3,4,3,3,3,4,3,2,3
66,4,4,4,snowboard-sand,snowboard-sand_0_v_4,snowboard-sand,Style_Overall,Style_Overall/Vidtome,Vidtome,A woman in a grey shirt is skateboarding down the sand dune,"A woman in a grey shirt is skateboarding down the sand dune, in Abstract style",4,4,4,4,4,4,4,4,4,4,4,4
67,4.25,3.5,3.5,rollerblade,rollerblade_0_v_4,rollerblade,Style_Overall,Style_Overall/Vidtome,Vidtome,A girl is doing tricks on roller skates while jumping into the air in front of a graffiti wall,"A girl is doing tricks on roller skates while jumping into the air in front of a graffiti wall, in Oil painting style",5,4,4,4,4,4,3,3,4,4,3,3
68,5,4,4.25,rhino,rhino_0_v_4,rhino,Style_Overall,Style_Overall/Vidtome,Vidtome,A rhino walking through a zoo enclosure with rocks and trees,"A rhino walking through a zoo enclosure with rocks and trees, in Manga style",5,5,5,5,4,4,4,4,5,4,4,4
69,4,3.75,3.5,city-ride,city-ride_0_v_4,city-ride,Style_Overall,Style_Overall/Vidtome,Vidtome,A young boy rides a bike down a street with a graffiti wall,"A young boy rides a bike down a street with a graffiti wall, in Oil painting style",4,4,4,4,4,4,4,3,4,4,3,3
70,4,3.5,3.5,elephant,elephant_0_v_4,elephant,Style_Overall,Style_Overall/Vidtome,Vidtome,"An elephant is walking in the zoo, raising dust with its trunk, with rocks and trees in the background","An elephant is walking in the zoo, raising dust with its trunk, with rocks and trees in the background, in Oil painting style",4,4,4,4,4,3,3,4,4,3,3,4
71,4.5,4,3.75,hike,hike_0_v_4,hike,Style_Overall,Style_Overall/Vidtome,Vidtome,"A man carrying a backpack is walking on the mountain, stepping on rocks, with the mountain as the background","A man carrying a backpack is walking on the mountain, stepping on rocks, with the mountain as the background, in Watercolor style",5,5,4,4,4,4,4,4,4,4,4,3
72,4,4.25,4,guitar-violin,guitar-violin_0_v_5,guitar-violin,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A man dressed in a suit is playing a song on the violin in a candlelit bar,"A man dressed in a suit is playing a song on the violin in a candlelit bar, in tropical beach colors",4,4,4,4,5,4,4,4,4,4,4,4
73,4,4.5,4.25,dolphins,dolphins_0_v_5,dolphins,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,Dolphins swimming in the ocean with a blue sky,"Dolphins swimming in the ocean with a blue sky, in cityscape at night colors",4,4,4,4,4,5,5,4,4,5,4,4
74,4.25,4,4,car-turn,car-turn_0_v_5,car-turn,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A suv driving down a winding road with mountains in the background,"A suv driving down a winding road with mountains in the background, in vintage postcard colors",5,4,4,4,4,4,4,4,4,4,4,4
75,3.75,3.25,3,dancing,dancing_0_v_5,dancing,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A girl and boy are dancing in a circle in front of a crowd,"A girl and boy are dancing in a circle in front of a crowd, in vintage postcard colors",4,4,4,3,3,4,3,3,3,3,3,3
76,4,3.75,3.75,rollercoaster,rollercoaster_0_v_5,rollercoaster,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A roller coaster is running on an orange track on a sunny day.,"A roller coaster is running on an orange track on a sunny day., in rainy day colors",4,4,4,4,4,4,4,3,4,4,4,3
77,4,3.75,3.75,helicopter,helicopter_0_v_5,helicopter,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A man in a yellow vest is walking while a helicopter is hovering over the airport,"A man in a yellow vest is walking while a helicopter is hovering over the airport, in winter wonderland colors",4,4,4,4,4,3,4,4,4,3,4,4
78,4,4,3.5,koala,koala_0_v_5,koala,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,Koala bear climbing on a tree trunk,"Koala bear climbing on a tree trunk, in tropical beach colors",4,4,4,4,4,4,5,3,4,3,4,3
79,3.75,3,3.25,skate-jump,skate-jump_0_v_5,skate-jump,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,"A skateboarder jumps over a wooden table on a concrete road, with trees in the background and the sunlight of the day","A skateboarder jumps over a wooden table on a concrete road, with trees in the background and the sunlight of the day, in grayscale",4,3,4,4,3,2,3,4,3,3,3,4
80,3.5,2.75,2.5,monkeys,monkeys_0_v_5,monkeys,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A mother monkey and a baby monkey are picking things to eat on the grassland,"A mother monkey and a baby monkey are picking things to eat on the grassland, in tropical beach colors",4,4,3,3,4,3,2,2,3,3,2,2
81,4,4,3.75,crafting,crafting_0_v_5,crafting,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A person is holding a pencil and crafting a model,"A person is holding a pencil and crafting a model, in winter wonderland colors",4,4,4,4,4,4,4,4,4,4,3,4
82,4.5,3.75,4,planes-water,planes-water_0_v_5,planes-water,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,An airplane is taxiing on a wet tarmac on a cloudy day,"An airplane is taxiing on a wet tarmac on a cloudy day, in sunrise colors",5,4,5,4,4,4,3,4,4,4,4,4
83,4.25,3.75,4.25,crossing,crossing_0_v_5,crossing,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,People walk across a crosswalk as a white car passes,"People walk across a crosswalk as a white car passes, in vintage postcard colors",5,4,4,4,4,3,4,4,5,4,4,4
84,4,3.5,3.75,judo,judo_0_v_5,judo,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,Two men in white uniforms are practicing Judo inside a Karate studio,"Two men in white uniforms are practicing Judo inside a Karate studio, in cityscape at night colors",4,4,4,4,4,3,3,4,4,3,4,4
85,4.5,4,4,bears-ball,bears-ball_0_v_5,bears-ball,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,"Three brown bears are walking and playing with a red ball on the ground covered with leaves, with the forest as the background","Three brown bears are walking and playing with a red ball on the ground covered with leaves, with the forest as the background, in autumn forest colors",5,5,4,4,4,4,4,4,4,4,4,4
86,4.25,4,4,rallye,rallye_0_v_5,rallye,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A rally car is driving down a dirt road,"A rally car is driving down a dirt road, in tropical beach colors",5,4,4,4,4,4,4,4,4,4,4,4
87,4,3.5,3.5,surfer,surfer_0_v_5,surfer,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A man rides a surfboard in the water while others hold onto their surfboards and watch,"A man rides a surfboard in the water while others hold onto their surfboards and watch, in cityscape at night colors",4,4,4,4,4,3,4,3,4,3,3,4
88,4,3.5,3.75,dog-control,dog-control_0_v_5,dog-control,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,"A woman is walking past a black dog wearing a jacket at the airport, and the security staff is controlling the dog through a leash","A woman is walking past a black dog wearing a jacket at the airport, and the security staff is controlling the dog through a leash, in tropical beach colors",4,4,4,4,3,4,3,4,4,3,4,4
89,4.25,3.75,3.5,mbike-trick,mbike-trick_0_v_5,mbike-trick,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A man wearing a helmet and a white T-shirt is riding a motorcycle in a training ground to create smoke circles around him,"A man wearing a helmet and a white T-shirt is riding a motorcycle in a training ground to create smoke circles around him, in autumn forest colors",5,5,3,4,5,4,3,3,4,4,3,3
90,4.5,3.5,3.75,volleyball-beach,volleyball-beach_0_v_5,volleyball-beach,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A group of people playing volleyball on the beach,"A group of people playing volleyball on the beach, in sunset colors",4,5,5,4,3,4,3,4,3,4,4,4
91,4,3.75,3.25,motorbike,motorbike_0_v_5,motorbike,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,Two people riding motorcycles on a road near a mountain,"Two people riding motorcycles on a road near a mountain, in rainy day colors",4,4,4,4,4,3,4,4,3,3,3,4
92,4.5,4,3.75,car-shadow,car-shadow_0_v_5,car-shadow,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A white car is driving down the street in front of a building,"A white car is driving down the street in front of a building, in sunset colors",5,5,4,4,4,4,4,4,4,5,3,3
93,4.25,4,4.25,boat,boat_0_v_5,boat,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A white boat is seen moving quickly through the water in an area surrounded by desert and mountains,"A white boat is seen moving quickly through the water in an area surrounded by desert and mountains, in sunset colors",4,5,4,4,4,4,4,4,4,5,4,4
94,4,4,3.25,train,train_0_v_5,train,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,"A model train set with a train on the tracks, next to a model village","A model train set with a train on the tracks, next to a model village, in tropical beach colors",4,4,4,4,4,4,4,4,3,3,3,4
95,4,3.25,3.25,boxing-fisheye,boxing-fisheye_0_v_5,boxing-fisheye,Style_color_transfer,Style_color_transfer/Vidtome,Vidtome,A boxing match between two young men is taking place in an outdoor ring while a crowd of people watches,"A boxing match between two young men is taking place in an outdoor ring while a crowd of people watches, in tropical beach colors",4,4,4,4,4,3,3,3,4,3,3,3
96,1.75,1.5,1.5,hurdles-race,hurdles-race_0_v_6,hurdles-race,Multi-entity,Multi-entity/Vidtome,Vidtome,A group of women are running on an athletic track while jumping over hurdles as an audience watches on,A group of robots are running on a sandy track while jumping over colorful hurdles as an audience watches on,2,2,1,2,2,1,1,2,2,1,1,2
